Source,Target,Association
$resource,End_To_End_w_Databricks,core.ResourceParentChild
$resource,End_To_End_w_Snowflake,core.ResourceParentChild
End_To_End_w_Databricks,Mass_Ingestion,com.infa.odin.models.IICS.V2.ProjectToFolder
Mass_Ingestion,cdmi_sql_server_marketing_to_dbx_bronze_marketing,com.infa.odin.models.IICS.V2.FolderToTask
Mass_Ingestion,cdmi_sql_server_retail_to_dbx_bronze_retail,com.infa.odin.models.IICS.V2.FolderToTask
Mass_Ingestion,ami_servicenow_to_dbx,com.infa.odin.models.IICS.V2.FolderToTask
End_To_End_w_Snowflake,apmi_servicenow_to_snowflake,com.infa.odin.models.IICS.V2.ProjectToTask
End_To_End_w_Snowflake,mi_nsen_mktg_sqlsrvr_to_snowflake,com.infa.odin.models.IICS.V2.ProjectToTask
End_To_End_w_Snowflake,mi_nsen_retail_sqlsrvr_to_snowflake,com.infa.odin.models.IICS.V2.ProjectToTask
cdmi_sql_server_retail_to_dbx_bronze_retail,cdmi_sql_server_retail_to_dbx_bronze_retail_1,com.infa.odin.models.IICS.V2.TaskToTaskInstance
cdmi_sql_server_marketing_to_dbx_bronze_marketing,cdmi_sql_server_marketing_to_dbx_bronze_marketing_1,com.infa.odin.models.IICS.V2.TaskToTaskInstance
ami_servicenow_to_dbx,ami_servicenow_to_dbx_1,com.infa.odin.models.IICS.V2.TaskToTaskInstance
apmi_servicenow_to_snowflake,apmi_servicenow_to_snowflake_1,com.infa.odin.models.IICS.V2.TaskToTaskInstance
mi_nsen_mktg_sqlsrvr_to_snowflake,mi_nsen_mktg_sqlsrvr_to_snowflake_1,com.infa.odin.models.IICS.V2.TaskToTaskInstance
mi_nsen_retail_sqlsrvr_to_snowflake,mi_nsen_retail_sqlsrvr_to_snowflake_1,com.infa.odin.models.IICS.V2.TaskToTaskInstance
cdmi_sql_server_retail_to_dbx_bronze_retail_1,bronze_retail_NS_RWD_PMETH_RWD_PMETH_ID,com.infa.odin.models.IICS.V2.TaskInstanceToCalculation
cdmi_sql_server_retail_to_dbx_bronze_retail_1,bronze_retail_NS_RWD_PMETH_RWD_USER_ID,com.infa.odin.models.IICS.V2.TaskInstanceToCalculation
