Source,Target,Association
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH~com.infa.odin.models.relational.Table,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH~com.infa.odin.models.relational.Table,core.DataSetDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/V_EXPIRY_DATE~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/V_EXPIRY_DATE~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/VOUCHER_NUMBER~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/VOUCHER_NUMBER~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/RWD_USER_ID~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/RWD_USER_ID~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/V_ISSUE_DATE~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/V_ISSUE_DATE~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/RWD_PMETH_ID~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/RWD_PMETH_ID~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/V_STATUS~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/V_STATUS~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/CVV_NUMBER~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/CVV_NUMBER~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/EXP_DATE~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/EXP_DATE~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/V_AMOUNT~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/V_AMOUNT~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/CC_NUMBER~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/CC_NUMBER~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PMETH/NAME_ON_CARD~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PMETH/NAME_ON_CARD~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PROD~com.infa.odin.models.relational.Table,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PROD~com.infa.odin.models.relational.Table,core.DataSetDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PROD/RWD_PRODUCT_ID~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PROD/RWD_PRODUCT_ID~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PROD/RWD_ITEM_DESC~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PROD/RWD_ITEM_DESC~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PROD/QTY_ON_HAND~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PROD/QTY_ON_HAND~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_PROD/UNIT_PRICE~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_PROD/UNIT_PRICE~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_TRANS~com.infa.odin.models.relational.Table,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_TRANS~com.infa.odin.models.relational.Table,core.DataSetDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_TRANS/RWD_TRANS_DATE~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_TRANS/RWD_TRANS_DATE~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_TRANS/RWD_TRANS_ID~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_TRANS/RWD_TRANS_ID~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_TRANS/RWD_POINTS~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_TRANS/RWD_POINTS~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_TRANS/PRODUCT_ID~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_TRANS/PRODUCT_ID~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_TRANS/RWD_CARD_ID~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_TRANS/RWD_CARD_ID~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_USER~com.infa.odin.models.relational.Table,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_USER~com.infa.odin.models.relational.Table,core.DataSetDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_USER/RWD_STATE~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_USER/RWD_STATE~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_USER/USER_PASSWORD~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_USER/USER_PASSWORD~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_USER/USER_NAME~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_USER/USER_NAME~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_USER/RWD_FIRST_NAME~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_USER/RWD_FIRST_NAME~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_USER/RWD_ADDRESS2~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_USER/RWD_ADDRESS2~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
1daf27d1-a597-3d3a-ad0e-dbdd67c8b0e1://orcl/NSEN/NS_RWD_USER/RWD_ADDRESS1~com.infa.odin.models.relational.Column,3f771816-8f82-3b49-8f92-1a50d18bb7ac://NSEN/dbo/NS_RWD_USER/RWD_ADDRESS1~com.infa.odin.models.relational.Column,core.DirectionalDataFlow
